172.17.252.161 , PJXRMYY-ACC-NW-ZY-3F-05-S5000-161-POE
172.17.252.162 ,  PJXRMYY-ACC-NW-ZY-4F-05-S5000-162
172.17.252.163 ,  PJXRMYY-ACC-NW-ZY-4F-05-S5000-163
172.17.252.164 ,  PJXRMYY-ACC-NW-ZY-4F-05-S5000-164
172.17.252.165 ,  PJXRMYY-ACC-NW-ZY-4F-05-S5000-165
172.17.252.166 ,  PJXRMYY-ACC-NW-ZY-4F-05-S5000-166
172.17.252.167 , PJXRMYY-ACC-NW-ZY-4F-05-S5000-167-POE
172.17.252.81  , PJXRMYY-ACC-NW-XZ-1F-01-S5000-81-POE
172.17.252.82  , PJXRMYY-ACC-NW-XZ-2F-01-S5000-82-POE
172.17.252.83  , PJXRMYY-ACC-NW-XZ-3F-01-S5000-83-POE
172.17.252.91  ,  PJXRMYY-ACC-NW-XZ-1F-02-S5000-91
172.17.252.92  , PJXRMYY-ACC-NW-XZ-1F-02-S5000-92-POE
172.17.252.93  ,  PJXRMYY-ACC-NW-XZ-2F-02-S5000-93
172.17.252.94  , PJXRMYY-ACC-NW-XZ-2F-02-S5000-94-POE
172.17.252.95  ,  PJXRMYY-ACC-NW-XZ-3F-02-S5000-95
172.17.252.96  , PJXRMYY-ACC-NW-XZ-3F-02-S5000-96-POE
172.17.252.101 ,  PJXRMYY-ACC-NW-ZP-1F-S5000-101
172.17.252.102 , PJXRMYY-ACC-NW-XS-2F-S5000-102-POE
172.17.252.103 ,  PJXRMYY-ACC-NW-FZ1-1F-S5000-103
172.17.252.105 ,  PJXRMYY-ACC-NW-FZ3-1F-S5000-105
172.17.252.106 ,  PJXRMYY-ACC-NW-FZ4-1F-S5000-106
